QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-01-29,1454101200,25.000000,0.042790,0.009820,0.025830,-0.016150,0.002740,0.332580,,0.000000,608x980,0.130000,0.190000,123.000000,17.600000,18.300000,1x43,0.000000,-0.950350,0.010440,0.028290,-0.022610,-0.084040,0.342870,,17.700000,0.168000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-01-29,1454101200,25.000000,0.045890,0.009640,0.027200,-0.017470,0.002960,0.354390,10.000000,0.380000,30x1156,0.130000,0.220000,124.000000,18.600000,19.300000,53x58,0.000000,-0.951810,0.009700,0.027860,-0.022370,-0.085100,0.356750,,18.700000,0.177000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-01-29,1454101200,25.000000,0.036340,0.007990,0.022050,-0.014230,0.002330,0.348960,33.000000,0.130000,256x1048,0.100000,0.170000,125.000000,19.550000,20.300000,53x58,0.000000,-0.958320,0.008600,0.024340,-0.020470,-0.086150,0.360590,,19.700000,0.187000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-01-29,1454101200,25.000000,0.040900,0.008290,0.024380,-0.017320,0.003300,0.377140,,0.000000,1116x1143,0.020000,0.330000,126.000000,20.510000,21.250000,49x69,0.000000,-0.969110,0.006990,0.019610,-0.017100,-0.087430,0.351460,,20.700000,0.196000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-01-29,1454101200,25.000000,0.035490,0.007330,0.021790,-0.015240,0.002950,0.380010,,0.000000,1095x1122,0.010000,0.280000,127.000000,21.500000,22.250000,39x61,0.000000,-0.970030,0.006530,0.019090,-0.017150,-0.088380,0.363770,,21.700000,0.206000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-01-29,1454101200,25.000000,0.044090,0.008000,0.026780,-0.021030,0.003150,0.417260,,0.000000,0x1313,0.000000,0.410000,128.000000,22.390000,23.240000,73x2,0.000000,-0.980640,0.004620,0.012370,-0.012300,-0.089620,0.342790,,22.700000,0.215000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-01-29,1454101200,25.000000,0.046770,0.007950,0.027190,-0.022350,0.003510,0.439720,,0.000000,0x1315,0.000000,0.460000,129.000000,23.350000,24.260000,50x50,0.000000,-0.987120,0.003290,0.008760,-0.009520,-0.091240,0.331060,,23.700000,0.224000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-01-29,1454101200,25.000000,0.021330,0.004750,0.014730,-0.010360,0.001560,0.380580,2.000000,0.080000,587x957,0.020000,0.130000,130.000000,24.250000,25.260000,9x7,0.000000,-1.000000,0.000000,-256.500210,0.000000,0.000000,0.000880,,24.700000,0.234000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-01-29,1454101200,25.000000,0.043700,0.007030,0.025800,-0.022220,0.003580,0.462040,,0.000000,0x1351,0.000000,0.450000,131.000000,25.250000,26.250000,7x10,0.000000,-1.000000,0.000000,-266.499820,0.000000,0.000000,0.000150,,25.700000,0.243000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-01-29,1454101200,25.000000,0.020230,0.004320,0.013610,-0.010480,0.001210,0.403520,,0.000000,0x20,0.000000,0.160000,132.000000,26.250000,27.200000,6x10,0.000000,-0.998690,0.000000,0.000000,-0.004030,-0.094260,0.000550,,26.700000,0.253000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-01-29,1454101200,25.000000,0.023520,0.004530,0.015410,-0.012580,0.002100,0.427850,,0.000000,0x23,0.000000,0.210000,133.000000,27.240000,28.250000,6x10,0.000000,-1.000000,0.000000,-286.500280,0.000000,0.000000,0.000170,,27.700000,0.262000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-01-29,1454101200,25.000000,0.009840,0.002390,0.007120,-0.005030,0.000720,0.391140,,0.000000,0x11,0.000000,0.070000,135.000000,29.200000,30.250000,6x10,31.660000,-0.999350,0.000000,0.000000,-0.004580,-0.095890,0.000090,5.000000,29.700000,0.281000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.924920,0.003940,0.037980,-0.032000,0.020560,0.624850,,0.000000,55x39,25.460000,25.750000,80.000000,0.220000,0.270000,790x854,0.270000,-0.035730,0.004720,0.024620,-0.019490,-0.004060,0.526450,34.000000,25.300000,0.241000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.916500,0.007360,0.044720,-0.031220,0.029780,0.527870,,0.000000,11x50,20.550000,20.890000,85.000000,0.380000,0.430000,799x449,0.470000,-0.058580,0.007790,0.037420,-0.026760,-0.005510,0.470840,531.000000,20.300000,0.193000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.883400,0.013050,0.059570,-0.036740,0.042320,0.461080,2.000000,15.350000,10x57,15.850000,16.150000,90.000000,0.660000,0.690000,394x134,0.700000,-0.100500,0.013120,0.055680,-0.036800,-0.010370,0.424840,,15.300000,0.146000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.814840,0.021200,0.083690,-0.045770,0.050980,0.406820,0.000000,11.600000,1089x7,11.400000,11.600000,95.000000,1.230000,1.270000,432x32,1.450000,-0.177450,0.021260,0.082700,-0.049970,-0.018360,0.386760,204.000000,10.300000,0.098000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.772380,0.024950,0.094510,-0.051380,0.052390,0.392430,,0.000000,38x493,9.750000,9.940000,97.000000,1.590000,1.660000,500x413,1.600000,-0.222620,0.024950,0.094550,-0.056260,-0.022390,0.375720,51.000000,8.300000,0.079000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-02-05,1454706000,32.000000,0.759940,0.025840,0.097900,-0.052010,0.052890,0.388630,0.000000,10.200000,10x21,9.350000,9.550000,97.500000,1.690000,1.750000,356x339,1.970000,-0.234660,0.025960,0.096800,-0.057200,-0.023730,0.373680,22.000000,7.800000,0.075000
