QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT
1451941200,2016-01-0416:00,2016-01-04,16.000000,32.370000,2016-01-08,1452286800,4.000000,0.061710,0.063230,0.004920,-0.022750,0.000180,0.522350,20.000000,0.060000,66x103,0.020000,0.080000,35.500000,2.660000,3.700000,181x55,3.230000,-0.972630,0.039930,0.002470,-0.015390,-0.004860,0.419400,4.000000,3.100000,0.097000
1451941200,2016-01-0416:00,2016-01-04,16.000000,32.370000,2016-01-08,1452286800,4.000000,0.091560,0.064850,0.005880,-0.040950,0.000840,0.689950,,0.000000,0x61,0.000000,0.210000,36.000000,3.000000,4.300000,146x62,0.000000,-0.998650,0.000000,0.000000,-0.007000,-0.005020,0.001090,,3.600000,0.112000
1451941200,2016-01-0416:00,2016-01-04,16.000000,32.370000,2016-01-08,1452286800,4.000000,0.077360,0.054030,0.004910,-0.037280,0.000210,0.726490,,0.000000,0x56,0.000000,0.180000,36.500000,3.500000,4.750000,164x57,0.000000,-1.000000,0.000000,-51.300100,0.000000,0.000000,,,4.100000,0.128000
1451941200,2016-01-0416:00,2016-01-04,16.000000,32.370000,2016-01-08,1452286800,4.000000,0.136860,0.057900,0.008300,-0.085330,0.000470,1.027540,,0.000000,0x81,0.000000,0.500000,37.000000,4.200000,5.250000,137x50,0.000000,-0.943980,0.041840,0.004420,-0.035840,-0.004540,0.723800,,4.600000,0.143000
1451941200,2016-01-0416:00,2016-01-04,16.000000,32.370000,2016-01-08,1452286800,4.000000,0.129980,0.052400,0.007390,-0.086590,0.001000,1.096640,,0.000000,0x48,0.000000,0.500000,37.500000,4.650000,5.750000,184x57,0.000000,-0.963730,0.030190,0.002590,-0.025340,-0.004820,0.706960,,5.100000,0.158000
1451941200,2016-01-0416:00,2016-01-04,16.000000,32.370000,2016-01-08,1452286800,4.000000,0.123870,0.047800,0.007510,-0.089290,0.000130,1.164190,,0.000000,0x56,0.000000,0.500000,38.000000,5.200000,6.250000,89x27,0.000000,-0.949670,0.032990,0.004160,-0.036750,-0.004470,0.833420,,5.600000,0.174000
1451941200,2016-01-0416:00,2016-01-04,16.000000,32.370000,2016-01-08,1452286800,4.000000,0.119270,0.044000,0.007750,-0.091180,0.000180,1.228460,,0.000000,0x32,0.000000,0.500000,38.500000,5.600000,6.600000,124x96,0.000000,-1.000000,0.000000,-71.300000,0.000000,0.000000,,,6.100000,0.189000
1451941200,2016-01-0416:00,2016-01-04,16.000000,32.370000,2016-01-08,1452286800,4.000000,0.221770,0.042750,0.010720,-0.220000,0.000800,1.889450,,0.000000,0x31,0.000000,1.610000,39.000000,6.200000,7.100000,37x96,0.000000,-0.999130,0.000000,0.000000,-0.007250,-0.005020,0.000530,,6.600000,0.205000
1451941200,2016-01-0416:00,2016-01-04,16.000000,32.370000,2016-01-08,1452286800,4.000000,0.110730,0.037840,0.006690,-0.093990,0.000400,1.353460,,0.000000,0x31,0.000000,0.500000,39.500000,6.650000,7.550000,40x64,0.000000,-1.000000,0.000000,-81.299970,0.000000,0.000000,,,7.100000,0.220000
1451941200,2016-01-0416:00,2016-01-04,16.000000,32.370000,2016-01-08,1452286800,4.000000,0.084480,0.032650,0.005730,-0.072100,-0.000030,1.293310,,0.000000,0x21,0.000000,0.350000,40.000000,6.650000,8.050000,22x64,0.000000,-1.000000,0.000000,-86.299820,0.000000,0.000000,,,7.600000,0.236000
